,in_row_id,in_ra,in_dec,ra,dec,infobits,field,ccdid,qid,rcid,fid,filtercode,pid,nid,expid,itid,imgtype,imgtypecode,obsdate,obsjd,exptime,filefracday,seeing,airmass,moonillf,moonesb,maglimit,crpix1,crpix2,crval1,crval2,cd11,cd12,cd21,cd22,ra1,dec1,ra2,dec2,ra3,dec3,ra4,dec4,ipac_pub_date,ipac_gid
582,1,30.0216626145641,77.3690009027791,29.98175624,77.00467695,0,855,11,3,42,2,zr,675367004215,675,67536700,1,object,o,2018-11-07 08:48:29.659+00,2458429.8670023,30,20181107366944,2.05799007,1.38600004,-0.0011467,0,20.9276009,1536.5,1540.5,29.98177158757,77.00470952899,-0.0002797095711494,3.017330886592e-05,-3.010275916076e-05,-0.0002796898651845,31.74901252,77.47591423,27.80226777,77.38036294,28.33825266,76.52259990999998,32.03845365,76.61190268999998,2020-12-09 00:00:00+00,1
583,1,30.0216626145641,77.3690009027791,30.02873985,77.01355493,0,855,11,3,42,3,zi,1395326824215,1395,139532682,1,object,o,2020-10-27 07:50:38.148+00,2459149.8268287,30,20201027326817,2.20239997,1.37600005,0.843118012,0,19.6308994,1536.5,1540.5,30.02882404973,77.01358086184,-0.0002797367906698,2.996061570057e-05,-2.989279131451e-05,-0.0002797180088544,31.79898193,77.48462800999998,27.84920763,77.38959905999998,28.38242189,76.53165767999998,32.08518735,76.62043550999998,2022-05-09 00:00:00+00,2
584,1,30.0216626145641,77.3690009027791,29.9512802,77.00214767,0,855,11,3,42,1,zg,683427774215,683,68342777,1,object,o,2018-11-15 10:16:00.627+00,2458437.9277778,30,20181115427778,3.22122002,1.53199995,0.483287007,0,20.3656998,1536.5,1540.5,29.95134155127,77.00214454774,-0.0002797098243406,3.047579533768e-05,-3.040828873496e-05,-0.0002796845297136,31.71657207,77.47379238,27.7698577,77.37736289999998,28.30959298,76.51970362999998,32.01005075,76.60976453,2019-05-08 00:00:00+00,1
585,1,30.0216626145641,77.3690009027791,30.09762576,77.05040682,0,855,11,3,42,1,zg,1357363324215,1357,135736332,1,object,o,2020-09-19 08:43:11.556+00,2459111.8633218,30,20200919363241,2.24183989,1.40499997,0.053175699,0,20.6347008,1536.5,1540.5,30.0977070514,77.0504112025,-0.000279812192013,2.941874391497e-05,-2.935274084696e-05,-0.0002797944022163,31.87744285,77.5207204,27.91506508,77.42735711,28.44252687,76.56913912,32.15636244,76.65634463,2021-03-31 00:00:00+00,1
586,1,30.0216626145641,77.3690009027791,30.14137483,77.00345258,0,855,11,3,42,2,zr,2052376754215,2052,205237675,1,object,o,2022-08-15 09:02:32.765+00,2459806.8767593,30,20220815376516,1.57369995,1.54200006,-0.857420981,0,20.3882008,1536.5,1540.5,30.1413688018,77.00345942756,-0.0002798648616879,2.895706180353e-05,-2.889419639213e-05,-0.000279845525495,31.91907805,77.47311813999998,27.96958021,77.38115114,28.488129,76.52286108,32.1901337,76.60880082,2022-11-08 00:00:00+00,1
587,1,30.0216626145641,77.3690009027791,30.01698017,77.01726673,0,855,11,3,42,1,zg,1466196154215,1466,146619615,1,object,o,2021-01-06 04:42:28.895+00,2459220.6961574,30,20210106196146,2.30254006,1.40600002,-0.525197983,0,20.6268005,1536.5,1540.5,30.01698062534,77.0173172524,-0.0002797433164757,3.005309559635e-05,-2.998597213098e-05,-0.0002797244613853,31.78672391,77.48843409,27.83576683,77.393203,28.37105966,76.53525297,32.07518025,76.62424067,2021-03-31 00:00:00+00,1
588,1,30.0216626145641,77.3690009027791,30.02936248,76.99438784,0,855,11,3,42,2,zr,1047254604215,1047,104725460,1,object,o,2019-11-14 06:06:38.43+00,2458801.7546065,30,20191114254572,1.73740995,1.37699997,-0.970606029,0,19.7054996,1536.5,1540.5,30.02956076518,76.99444455733,-0.0002797545053091,2.973395407477e-05,-2.966959697411e-05,-0.0002797395553391,31.79866636,77.46516905999998,27.85468515,77.37077549999998,28.38384872,76.51283714,32.08150236,76.60090934,2021-06-30 00:00:00+00,3
589,1,30.0216626145641,77.3690009027791,30.04230395,77.05538604,0,855,11,3,42,1,zg,1339425494215,1339,133942549,1,object,o,2020-09-01 10:12:44.062+00,2459093.9254977,30,20200901425428,1.97323,1.39300001,0.99376899,0,19.7900009,1536.5,1540.5,30.04253781274,77.05539051233,-0.0002797910962075,2.966123784811e-05,-2.95989759139e-05,-0.0002797695538786,31.82085782,77.52603385,27.85769252,77.4318985,28.38857099,76.57385057,32.10311838,76.66175099,2021-03-31 00:00:00+00,1
590,1,30.0216626145641,77.3690009027791,29.98422497,77.00133001,33554432,855,11,3,42,1,zg,1065201094215,1065,106520109,1,object,o,2019-12-02 04:49:35.948+00,2458819.7010995,30,20191202201076,2.33028007,1.37899995,0.306856006,0,19.8532009,1536.5,1540.5,29.98436641216,77.00137813382,-0.0002797520503923,2.993983215179e-05,-2.98742944778e-05,-0.0002797290357986,31.75310692,77.47239951,27.80691752,77.37745988999998,28.33914197,76.51944294,32.03870791,76.60815775,2020-06-24 00:00:00+00,1
591,1,30.0216626145641,77.3690009027791,30.02719503,77.00655349,0,855,11,3,42,2,zr,1377430314215,1377,137743031,1,object,o,2020-10-09 10:19:39.224+00,2459131.9303125,30,20201009430301,1.79517996,1.39400005,-0.561758995,0,20.2152004,1536.5,1540.5,30.02719806034,77.00657767261998,-0.0002797319856341,3.011832736563e-05,-3.004792662096e-05,-0.0002797100672789,31.79544184,77.47775891,27.84774809,77.38244387,28.38278234,76.52453515,32.08361714,76.61361546,2021-03-31 00:00:00+00,1
