,ID,version,HIP,TYC,UCAC,TWOMASS,SDSS,ALLWISE,GAIA,APASS,KIC,objType,typeSrc,ra,dec,POSflag,pmRA,e_pmRA,pmDEC,e_pmDEC,PMflag,plx,e_plx,PARflag,gallong,gallat,eclong,eclat,Bmag,e_Bmag,Vmag,e_Vmag,umag,e_umag,gmag,e_gmag,rmag,e_rmag,imag,e_imag,zmag,e_zmag,Jmag,e_Jmag,Hmag,e_Hmag,Kmag,e_Kmag,TWOMflag,prox,w1mag,e_w1mag,w2mag,e_w2mag,w3mag,e_w3mag,w4mag,e_w4mag,GAIAmag,e_GAIAmag,Tmag,e_Tmag,TESSflag,SPFlag,Teff,e_Teff,logg,e_logg,MH,e_MH,rad,e_rad,mass,e_mass,rho,e_rho,lumclass,lum,e_lum,d,e_d,ebv,e_ebv,numcont,contratio,disposition,duplicate_id,priority,eneg_EBV,epos_EBV,EBVflag,eneg_Mass,epos_Mass,eneg_Rad,epos_Rad,eneg_rho,epos_rho,eneg_logg,epos_logg,eneg_lum,epos_lum,eneg_dist,epos_dist,distflag,eneg_Teff,epos_Teff,TeffFlag,gaiabp,e_gaiabp,gaiarp,e_gaiarp,gaiaqflag,starchareFlag,VmagFlag,BmagFlag,splists,e_RA,e_Dec,RA_orig,Dec_orig,e_RA_orig,e_Dec_orig,raddflag,wdflag,objID
36,629766368,20190415,,,,,,,561853328011829632,,,STAR,gaia2,29.9655390448852,77.3505933746044,gaia2,-1.3376,0.909318,-2.65772,0.679971,gaia2,0.375038,0.373682,gaia2,126.755328948712,14.9896328873961,68.774995915868,58.397611929254,,,20.1431,0.0878,,,,,,,,,,,,,,,,,,,,,,,,,,,19.5209,0.003921,18.653,0.0256,gbprp,gaia2,,,,,,,,,,,,,,,,1890.45,982.71,0.355679,0.012957,,,,,,0.0109383,0.0149757,panstarrs,,,,,,,,,,,693.94,1271.48,bj2018,,,,20.1723,0.108401,18.3236,0.039866,0.0,,gaia2,,,18.0565048113698,10.5433733003955,29.9655127457368,77.3505819316445,0.313499116334538,0.283894010929929,1.0,0,27860817
37,629766380,20190415,,,,,,,561853431091062656,,,STAR,gaia2,29.8852924400789,77.3771311791603,gaia2,-0.537916,0.817714,1.36019,0.623233,gaia2,0.511442,0.37183,gaia2,126.730403090082,15.0104353182824,68.7831103842639,58.4291453340039,,,19.8572,0.0726,,,,,,,,,,,,,,,,,,,,,,,,,,,19.4748,0.003752,18.767,0.0326,gbprp,gaia2,,,,,,,,,,,,,,,,1692.31,906.855,0.355548,0.0133295,,,,,,0.0122109,0.0144481,panstarrs,,,,,,,,,,,616.79,1196.92,bj2018,,,,19.9983,0.107512,18.5666,0.030036,0.0,,gaia2,,,16.2409858493918,9.66434786727079,29.8852818420003,77.3771370355342,0.309207485734163,0.286121490260947,1.0,0,27860829
38,137157545,20190415,,,,02000143+7722026,,,561865079042364160,,,STAR,tmgaia2,30.0059806242592,77.3673254906557,tmgaia2,6.35041,0.289589,-1.80004,0.236118,gaia2,0.245247,0.154044,gaia2,126.759447733606,15.0081386641654,68.8087193234209,58.4043986802856,19.388,0.139,18.5274,0.0491,,,,,,,,,,,16.256,0.122,15.82,0.198,15.683,0.237,BCD-222-111-ccc-0-0,,,,,,,,,,18.1034,0.001685,17.3291,0.0119,rered,gaia2,5170.0,146.0,4.2763,,,,1.13012,,0.88,,0.609692,,DWARF,0.8220626,,2691.18,937.12,0.363584,0.0166939,,,,,,0.0138287,0.0195591,panstarrs,,,,,,,,,,,715.68,1158.56,bj2018,,,dered,18.7934,0.032003,17.2812,0.007053,1.0,,gaia2,bpbj,,5.75139833633028,3.66166210449799,30.0061056451764,77.3673177405125,0.118681355773042,0.115849291217683,1.0,0,27949767
39,137158283,20190415,,,837-002961,02003591+7723085,,J020035.88+772308.8,561865186418421248,,,STAR,tmgaia2,30.1496004253564,77.3857372326356,tmgaia2,2.68544,0.0900299,4.36234,0.0863741,gaia2,2.12951,0.0576409,gaia2,126.785513124915,15.0344136367966,68.8769665149789,58.3976608900138,18.66,0.166,16.554,0.32,,,,,,,,,,,13.711,0.029,12.997,0.036,12.839,0.031,AAA-222-111-000-0-0,,12.668,0.025,12.729,0.024,12.62,0.33,9.241,,16.0007,0.000727,15.012,0.00759103,cdwrf,cdwrf,3812.0,157.0,4.56494,0.0155869,,,0.706172,0.0243508,0.667866,0.0221002,1.89652,0.133765,DWARF,0.09486964,0.022283582,463.743,12.501,0.238676,0.0545429,187.0,2.53996658,,,0.000130390254,0.0460579,0.0630279,panstarrs,,,,,,,,,,,12.17,12.832,bj2018,,,cdwrf,16.9793,0.005702,15.0253,0.002489,1.0,,ucac4,bpbj,cooldwarfs_v8,1.78831449373609,1.33943077102022,30.149653369694,77.3857560149382,0.0389012496615276,0.0411489109662654,1.0,0,27950242
40,629767160,20190415,,,,,,,561865255136318336,,,STAR,gaia2,30.1260086864507,77.4029918093414,gaia2,-3.07749,0.103516,-5.92388,0.179538,gaia2,4.95291,0.0688755,gaia2,126.775494966984,15.0495999911208,68.8911803556985,58.4140553057226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.0711,0.004515,13.6411,0.6,goffs,gaia2,,,,,,,,,,,,,,,,200.793,2.7985,0.17365,0.00194528,,,,,,0.00192424,0.00196632,schlegel,,,,,,,,,,,2.76,2.837,bj2018,,,,,0.0,,0.0,,,,,,2.05638737827232,2.78396152665601,30.1259479309569,77.4029663037536,0.0419957106422291,0.0790498702079065,,0,28776229
41,629765657,20190415,,,,,,,561841473902081536,,,STAR,gaia2,29.9474068624948,77.33532683931,gaia2,-1.18213,0.329183,1.8465,0.283383,gaia2,0.260912,0.189424,gaia2,126.755650368797,14.973860898453,68.7501292030823,58.3887231523757,,,18.8584,0.0489,,,,,,,,,,,,,,,,,,,,,,,,,,,18.4484,0.001879,17.6867,0.0104,rered,gaia2,5219.0,146.0,4.51285,,,,0.865577,,0.89,,1.37237,,DWARF,0.50079,,2488.6,954.155,0.358369,0.01272995,,,,,,0.0125083,0.0129516,panstarrs,,,,,,,,,,,715.95,1192.36,bj2018,,,dered,19.11,0.030302,17.6245,0.01064,1.0,,gaia2,,,6.53660459190585,4.39461996633987,29.9473836476717,77.3353347895194,0.148881689610463,0.13851441087764,1.0,0,27860414
42,629766369,20190415,,,,,,,561853328011829888,,,STAR,gaia2,29.9316826255907,77.3518287937555,gaia2,-2.48175,0.909158,0.173671,0.722406,gaia2,0.452391,0.450681,gaia2,126.74759450651,14.9888149615894,68.765889784746,58.4034190402812,,,20.2506,0.0711,,,,,,,,,,,,,,,,,,,,,,,,,,,19.8676,0.004431,19.131,0.0132,rered,gaia2,5346.0,313.0,,,,,,,,,,,DWARF,,,1734.96,983.07,0.355577,0.0134788,,,,,,0.0123877,0.0145699,panstarrs,,,,,,,,,,,680.12,1286.02,bj2018,,,dered,20.4026,0.104155,18.9698,0.026872,1.0,,gaia2,,,18.0543129411703,11.2021290698834,29.931633826112,77.3518295415101,0.356647929006232,0.329127893800597,1.0,0,27860818
43,137157540,20190415,,,,02001806+7721249,,J020018.00+772124.9,561865014619736704,60817964,,STAR,tmgaia2,30.0753248314438,77.3569295293772,tmgaia2,-1.93725,0.139922,1.30672,0.120421,gaia2,0.241449,0.0812591,gaia2,126.777491453564,15.0022645849926,68.817508141688,58.3865929798545,18.158,0.268,16.994,0.014,,,,,,,,,,,15.103,0.05,14.613,0.071,14.52,0.083,AAA-222-111-000-0-0,,14.516,0.026,14.549,0.038,12.824,,9.397,,16.7592,0.000935,16.08,0.0061,rered,gaia2,6310.0,127.0,3.97885,,,,1.88939,,1.24,,0.183848,,DWARF,5.09864044,,3169.91,768.9,0.501324,0.0011581945,,,,,,0.00175657,0.000559819,schlegel,,,,,,,,,,,621.67,916.13,bj2018,,,dered,17.3328,0.009816,16.0167,0.00416,1.0,,apassdr9,apassdr9,,2.77878829633688,1.86741074638368,30.0752867235328,77.3569351555355,0.0603640665569807,0.0574930740091266,1.0,0,27949766
44,137157561,20190415,,,,01592417+7723189,,J015924.20+772318.4,561853637249500544,,,STAR,tmgaia2,29.8506060567456,77.3885847037647,tmgaia2,4.70479,0.369585,-10.6224,0.330752,gaia2,0.841425,0.232843,gaia2,126.719652602886,15.019422755197,68.7866420858955,58.4427531411707,,,19.5719,0.0921,,,,,,,,,,,15.681,0.068,14.877,0.096,14.668,0.098,AAA-222-111-000-0-0,,14.412,0.026,14.437,0.036,12.648,0.388,8.861,,18.5279,0.001907,17.391,0.0112,rered,gaia2,3898.0,140.0,4.28837,,,,0.920293,,0.6,,0.769792,,DWARF,0.1761627,,1187.91,413.004,0.351385,0.02036805,,,,,,0.0220139,0.0187222,panstarrs,,,,,,,,,,,292.618,533.39,bj2018,,,dered,19.7494,0.093897,17.3348,0.011802,1.0,,gaia2,,,7.34158484243281,5.12954818790534,29.8506988338398,77.388538968447,0.166416968861596,0.172229119799558,1.0,0,27133866
45,137157563,20190415,,,,01594436+7723325,,J015944.18+772331.7,561876903089204480,,,STAR,tmgaia2,29.93474351412,77.3922578423698,tmgaia2,-4.0406,0.880637,-0.5637,0.678249,gaia2,0.875776,0.381287,gaia2,126.736937904462,15.0279174957718,68.8176642024292,58.4334146854212,,,20.4261,0.0858,,,,,,,,,,,16.403,0.133,15.67,0.164,15.514,0.191,BCC-222-211-c00-0-0,,15.318,0.033,15.445,0.062,12.862,,9.156,,19.449,0.003383,18.3343,0.0115,rered,gaia2,3971.0,130.0,4.67921,,,,0.596518,,0.62,,2.92093,,DWARF,0.07971529,,1203.64,689.758,0.382857,0.0194509,,,,,,0.0277421,0.0111597,panstarrs,,,,,,,,,,,419.156,960.36,bj2018,,,dered,20.6315,0.086494,18.2975,0.020427,1.0,,gaia2,,,17.4921413227732,10.5166621059552,29.9346638118222,77.3922554153399,0.307612562242019,0.282784342022707,1.0,0,27133867
